id_code,study_type,nature_x,total_sample_size,sample_size_control,mean_control,sd_control,sample_size_treatment,mean_treatment,sd_treatment,effect_type,plant_specie,yi,vi,statistic,value,country,sampling_method,farm_type,pesticide_effect
C0073,laboratory,categorical,30,15,71.72,56.25,15,20.78,45,pollination,NA,-0.972998177,0.149112091,NA,NA,brazil,directly_from_the_colony ,NA,sublethal
C0073,laboratory,categorical,30,15,71.72,56.25,15,11.41,20.78,pollination,NA,-1.383836622,0.165250063,NA,NA,brazil,directly_from_the_colony ,NA,sublethal
C0073,laboratory,categorical,30,15,71.72,56.25,15,14.37,20.47,pollination,NA,-1.318264329,0.162297014,NA,NA,brazil,directly_from_the_colony ,NA,sublethal
C0074,laboratory,categorical,68,34,91.42,22.04,34,83.09,33.82,community,,-0.288496158,0.059435515,NA,NA,usa,directly_from_the_colony ,NA,sublethal
C0074,laboratory,categorical,68,34,32.7,16.91,34,19.1,11.08,community,,-0.94049891,0.065327487,NA,NA,usa,directly_from_the_colony ,NA,sublethal
C0074,laboratory,categorical,68,34,0.42,0.93,34,0.29,0.82,community,,-0.146586323,0.058981526,NA,NA,usa,directly_from_the_colony ,NA,sublethal
C0091,laboratory,categorical,60,30,714.13,154.96,30,421.6,60.48,community,,-2.454687254,0.116879079,NA,NA,brazil,directly_from_the_colony ,NA,sublethal
C0091,laboratory,categorical,60,30,714.13,154.96,30,407.2,54.94,community,,-2.605805327,0.123251845,NA,NA,brazil,directly_from_the_colony ,NA,sublethal
C0091,laboratory,categorical,60,30,714.13,154.96,30,606.4,73.81,community,,-0.876092977,0.073062824,NA,NA,brazil,directly_from_the_colony ,NA,sublethal
C0091,laboratory,categorical,60,30,714.13,154.96,30,305.6,56.88,community,,-3.454545164,0.166115686,NA,NA,brazil,directly_from_the_colony ,NA,sublethal
C0091,laboratory,categorical,60,30,679.2,98.71,30,56,4.2,community,,-8.80455173,0.71266776,NA,NA,brazil,directly_from_the_colony ,NA,sublethal
C0091,laboratory,categorical,60,30,679.2,98.71,30,147.2,19.89,community,,-7.374657949,0.519879832,NA,NA,brazil,directly_from_the_colony ,NA,sublethal
C0091,laboratory,categorical,60,30,679.2,98.71,30,292.8,24.53,community,,-5.302705587,0.300989055,NA,NA,brazil,directly_from_the_colony ,NA,sublethal
C0091,laboratory,categorical,60,30,679.2,98.71,30,115.2,12.47,community,,-7.912496822,0.588396716,NA,NA,brazil,directly_from_the_colony ,NA,sublethal
